书名,简介,标签,链接,作者,类型,字数,完结状态,积分,发表时间,文案
纯白恶魔,末日之后,异世大陆 异能 升级流 正剧,http://www.jjwxc.net/onebook.php?novelid=8720089,priest,原创-纯爱-幻想未来-奇幻-主受,633470,完结,6884462080,2024-04-20 18:00:00,眼睛一闭一睁，他疑似确诊痴呆。他想不起自己姓甚名谁，只依稀记得自己混饭吃的家伙——一只神奇的左眼。那只眼睛看见尸体，就知道死因和凶手（如果有的话）。也行，他可以当个“福尔摩斯2.0”、“波洛干儿子”、“柯南他哥”……要不干脆去警察局考个公务员当当。谁知世道变化太快，睁眼一看，这里杀人不犯法了。“法”已于五百多年前的一个万圣节与世长辞，后世人称那一天为“世界末日”。当然，人们总是夸大其词，世界好着呢，没有毁灭，毁灭的只有人类社会而已。暗巷宜高歌。地狱宜狂欢。荒原茫茫，应有火种。化为灰烬后，我就是世界之王。热爱小动物的强迫症连环杀手攻vs病弱脑残受备注&扫雷：1. 主cp耽美，其他人取向包括但不限于同性、异性、水仙、人外等。2. 系列文，单本结束时可能存在开放性结局、主cp关系未定、最终结局遥遥无期等情况，介意勿跳坑。3. 以及虽然是系列文，但作者不保证以后专注该系列，中途可能开小差。4. 更新时间为每天中午12:00，不保证日更，但保证作者不失踪，不更新会挂假条、或在前一章“作者有话说”里说明。5. 本故事纯属架空。6. 封面自己瞎画的，凑合吧，不许笑（非得笑少打几个哈）。
高四生,学渣辅导学神，爱得多么深沉,天之骄子 甜文 校园 轻松,http://www.jjwxc.net/onebook.php?novelid=5047557,曲小蛐,原创-言情-近代现代-爱情-女主,410155,完结,4482223104,2021-11-03 12:00:00,（实体书《高四生》已上市，微博@曲小蛐）1、暑假末，盛喃被亲爹“发配边疆”，可怜巴巴地来到一个陌生的小县城复读。来安城的第一天，她就认识了那个长得很帅、脾气很拽的，安乔中学大哥…的跟班小弟。跟班小弟不学无术，不务正业，门门年级倒一，还一心辍学赚钱。盛喃看得很不忍心，决定劝他迷途知返。——竟然真劝回来了。就是“回”得有点大。盛喃神情沉默地望着面前的成绩表：“你这个年级第一，应该不是抄来的吧？”“是，”靳一懒洋洋地给她批改着试卷，没抬头答，“抄你的。”盛·班级倒五·喃：“…………”他骂我qwq2、身为安乔大哥的跟班小弟，靳一同学竟然是个隐藏学神，得知真相的盛喃非常开心。唯一美中不足的是，她很担心靳一会跟着那个可怕的老大裴朔鬼混——毕竟全安乔都知道裴朔惹不起，是个狠茬，而且背后有人，不能得罪。好在盛喃从没见过靳一打架，想来应该是菜的很。……然后她就见了。见过后的那晚，狠茬大哥裴朔亲自赶来慰问。刚上车他就满脸急切，抓耳挠腮地绕着靳一关切：“哥你没事吧哥？有没有哪里伤到了？”“没事。”“那群孙子是不是舒坦日子过腻歪了，连你都敢阴？！”“别吵，”靳一倦哑着嗓，“头疼。”“哦……”狠茬大哥委屈得像个小媳妇，一扭头就看见旁边呆滞的盛喃。他立刻呲出两排雪白和善的牙：“小嫂子好！”盛喃：“…………？”原来你们是合伙演我的？[又颓又拽“金盆洗手”前大佬]x[超怂但嘴炮max窝里横小软妹]*连载系列文>>>《银河坠落》（暗恋文）（江肆x宋晚栀）少年时，江肆永远是所有人中央最耀眼最恣肆的天之骄子；而宋晚栀是站在角落阴影里，仰头望着他的，穿纯白长裙的少女。他桀骜，她安静。他恣意妄为，她循规蹈矩。他是放浪到骨子里的江肆，她是残缺而纯白无暇的宋晚栀。他们是两个极端。哪怕来自同一所高中，只差两届，S大也没人把他们联系在一起。直到某一天。江肆发现了宋晚栀的秘密。“暗恋人渣是会付出代价的，”他把她囿在操场背光的高墙后，看树荫染上女孩纯白的脚踝，眼底阴影晦深，却笑着俯近她问，“你确定你想和我一起堕落吗，栀子？”“……”·[年少时见你，如隔星海不可及。后来，银河向我坠落。]2021.11.26作
本王，废物,纨绔我是专业的！,宫廷侯爵 天之骄子 穿书 朝堂 轻松,http://www.jjwxc.net/onebook.php?novelid=6667632,青衣杏林,原创-纯爱-架空历史-爱情-主受,624930,完结,5230704128,2024-06-04 20:00:00,【划重点：年下摆烂王爷受X疑心病超重心狠手辣帝王年上攻】姬未湫穿书成为了皇九子，六岁那年，亲哥姬溯把不听话的兄弟都嘎了。泱泱大国，只剩下了两个皇子，一个十八，一个六岁，老爹风瘫，亲哥摄政。姬未湫看着他哥若有所思的眼神，总觉得背上寒毛直立……啊这……那他怎么办？——换个角度想一想，他是皇亲国戚，亲哥现在是太子以后的皇帝他只要不贪图皇位不和他亲哥做对，那就是一辈子吃公家饭，整个国家他横·着·走！就问这天胡开局还有谁？！*“王爷，咱们今天去哪？”“走，先去飘香楼，再去红袖招，再去常来赌坊！”“……王爷？”主角：你懂个屁，我这是奉公当纨绔!#开玩笑呢这都不抓紧摆烂过难道还等着篡位当皇帝吗？##睡得比狗晚起的比鸡早的工作送给我我都不要#注：1、男主之间无血缘，心机深沉皇帝（封建大爹）攻X咸鱼摆烂纨绔王爷受，攻受差十二岁，感情线开始之前已明确非血缘关系。2、攻有洁癖受自认基佬，双C。3、每天24点之前更新，有时会晚，不更新会请假。4、本文于6月27日入V，届时三更，感谢支持。***【预收】《这座山头被我承包了》    沉楸是一个996社畜。　　爷爷去世十年后，他意外被神庙重建系统绑定，被迫辞去了大城市的工作，回到老家继承山头，以及一座破败不堪的山神庙。　　面对着被‘精怪’烦扰的村民们，沉楸秉持着科学至上的原则，硬着头皮为伪玄学手段为小青山带来了安宁，也顺利重建了山神庙。　　*　　村民甲：“沉师傅，救命！我家似乎是得罪了黄仙，鸡都被咬死了！”　　沉楸抹了一把脸，拎出了铁笼：“遇到事情不要慌，首先，我们先下个黄鼠狼笼。”　　村民乙：“沉师傅，我们家猪中了邪，它、它半夜唱歌啊！”　　沉楸一脸沉着：“莫慌，这是吉兆！这必然是山神爷爷选中了它！今天就请个杀猪匠把它收拾干净，明天我就开香案摆祭坛供奉山神爷爷！明天完了事儿大家伙一起吃杀猪菜！”　　*　　在小青山村民眼中，他们的新庙祝是一个高深莫测的大人物。自对方上任后，村里的黄鼠狼不再肆虐，家里的老鼠不再绕着房子跳舞，家猪半夜不再蹦迪，小青山一派欣欣向荣。　　然而，被村民们敬畏着的沉楸却面临着新的烦恼——他亲手为山神的眼尾染上了一抹金红的色彩，那座神像……　　哗得一下睁开了眼睛。　　这……问题有点大了。　　思来想去，沉楸拨通了某个电话。　 “喂110吗？我有东西想上交给国家！”*日常划重点：《鱼塘主》同款吃吃喝喝欢乐日常文，撸各种毛茸茸，吃美食，玄学-杂科民俗类，沙雕二逼赤脚庙祝受X高冷美人山神攻，物理驱邪，没有什么大阴谋大BOSS，主角系统日常互喷
穿到明朝考科举,穿越到明朝，读书赚钱考科举,宫廷侯爵 穿越时空 美食 正剧,http://www.jjwxc.net/onebook.php?novelid=3146671,五色龙章,原创-纯爱-古色古香-传奇-主受,1261200,完结,5026831360,2017-04-01 21:00:00,本文为架空穿书文，与现实中任何人物事件无关现代大学生崔燮穿越了，穿成了明朝一个五品官的儿子，可惜刚穿越过来就被父亲驱逐回迁安老家。他带着两个仆人在小县城里住下来，从此好好生活，好好赚钱，好好考科举，一步步回到京城，走上青云之路本文有很多章读书考试的内容，枯燥的八股文比较多，不爱看的同学不要自动续订，手动订阅时看章节标题是读书考试的就可以跳了放一下新文预收，大家不要投雷，收藏一下静等发文就好啦穿到古代当名士
剑寻千山,初恋归来，贼疯，贼帅，贼强,情有独钟 破镜重圆 天之骄子 仙侠修真 正剧,http://www.jjwxc.net/onebook.php?novelid=5339006,墨书白,原创-言情-架空历史-奇幻-女主,582484,完结,3577332480,2021-12-28 20:00:00,花向晚东渡云莱时，师父告诉她，因功法相合，为快速进阶，务必拐一位天剑宗的道君回西境。但必须记得，只能拐多情剑，不能找问心剑。因为修问心剑的道君，虽强但蠢，不懂爱恨。可偏偏来到云莱的第一眼，她看到的就是修问心剑的谢长寂。她如飞蛾扑火，明知谢长寂不染红尘，还是为他出生入死，无悔付出。可直到他们成了真正的夫妻，她筋脉尽毁，鲜血淋漓，他也只会哑声和她说“抱歉”她才知，问心剑的道君，当真不懂爱恨于是她当着他的面假死脱身，毁了那个叫“晚晚”的身份，重新当回她快活的合欢宫少主。留谢长寂于死生之界独守孤坟，一别两百年。两百年后，西境魔主病危，三宫宫变，为稳定局势，快速进阶，花向晚不得已再回云莱，向天剑宗求亲。众人都说花向晚是死马当活马医，天剑宗不可能让她带一个太强的道君回西境，她那颗半毁的金丹也不可能让她提升太多修为。结果等到成亲之后所有人都得了消息——云莱最强战力谢长寂从死生之界出关，破心转道，修多情剑，入主合欢宫！消息一出，围在合欢宫门口的敌军慌忙撤退，花向晚的老情人们四处奔逃，就连花向晚自己，也在新婚当夜，连夜扛着坐骑跑了。#前夫找我寻仇了，我得跑快点##初恋归来，贼疯，贼帅，贼强。##我携剑寻过千山万水，却才知你为本心。#PS：1.+正剧，不是沙雕文，悲喜交加，HE2.+开头即重逢，过去的事插叙说，男主苦大情深，女主外沙雕内凶狠下本预收——>《沧澜道》姜吟秋十九岁前，是名满江南的杏林千金她有着温和有礼的未婚夫江少言，有宽厚仁爱的父母，人生一眼到头，满满都是安稳。直到十九岁那年，官兵闯入她家府邸，满门男丁抄斩，女子流放，她在牢狱中苦等唯一的希望，想等着江少言为她沉冤昭雪，救她于水火可等啊等，她只等来了一把匕首，一包毒药江少言告诉她，边境长路漫漫，让她记得为他守贞。于是她拿着那把匕首，在踏出大狱前一刻，回了头。为了复仇，她毁了自己的脸，顶替死囚，一路浴血厮杀，以死囚特赦的身份进入监察司拜见长官那日，正是她的替身“姜吟秋”于流放途中遇险身亡的消息传回东都之时。那一夜，刚从民间寻回的三皇子江少言在自己府中立了亡妻的牌位而满身是血的姜吟秋跪在庭院，听见到那位出身六世高门望族、以人身被敬为鬼神的监察司使冰冷开口。“入了我监察司的门，你就是我谢恒的人。且报上名来。”姜吟秋一点一点合拢满是鲜血的手，抓紧地上令牌，抬起一双清亮如刀刃的眼。“卑职，顾惜娘。”
SCI谜案集（第一部）,青梅竹马的刑警和心理学博士,七五 惊悚 情有独钟 青梅竹马 轻松,http://www.jjwxc.net/onebook.php?novelid=379995,耳雅,衍生-纯爱-近代现代-古典衍生-主受,495422,完结,1729467392,2008-09-26 20:30:14,文案：鼠猫现代，心理学探案 
猫总会被蝴蝶吸引,ABO,幻想空间 天作之合 甜文 ABO 轻松,http://www.jjwxc.net/onebook.php?novelid=9360366,引路星,原创-纯爱-近代现代-爱情-双视角,354898,连载,5788373504,2025-01-01 12:00:00,【正文完】因为身体原因，时绮家里希望他与一位高匹配度的Alpha相恋、最好尽早结婚。时绮对此充耳不闻，只觉得Alpha都十分无趣。直到最近，他遇见了一个有意思的Alpha，开始改变想法。对方信息素的味道很好闻，长相也好看，因为兼职某种特殊工作，还很会哄人。为了应付家里的催促、也为了一点私心，时绮决定跟Alpha商量一下，让他和自己假扮情侣。-商随遇见了小时候有过一面之缘的Omega。时绮曾经趴在他的窗沿下，说长大了要跟他结婚，转头就不见人影，顺便把他忘了个精光。再次重逢，时绮似乎将他误认成了提供信息素讨人欢心的陪聊。商随也莫名其妙配合对方，就这么完成了一场营业。或许是对他的“服务”十分满意，时绮和他越走越近，甚至询问他能否和自己假扮情侣。“好吧，但这次可别再忘了。” 迎着时绮略有些困惑的目光，商随笑着说。-大学背景，双向暗恋（？-每天花枝招展只为吸引心选注意力的蝴蝶X看起来有点霸道实则十分纯情的小猫
听话,做坏孩子的好孩子。,天之骄子 甜文 轻松,http://www.jjwxc.net/onebook.php?novelid=5603878,书也,原创-言情-近代现代-爱情-女主,391334,完结,1609292544,2021-11-02 20:50:38,【实体书与2023年12月9日晚7点预售，vb@书书suui】那不是程岁宁第一次见周温宴。她见过他意气风发，见过他浪荡不羁，见过他怀里女孩换了一个又一个。只是那次，她心动最难捱。那天室友生日她走错包间，偶然窥见他懒懒陷在沙发里，百无聊赖拨弄打火机。火苗忽明忽暗身旁女生和他说话，他勾着笑半天敷衍回个一字半句。她回到包厢里第一次鬼迷心窍主动给他发了信息，【今天聚会好玩吗？】下一秒，他回：【你不在没意思。】后来他们分手，多年后在风雨里重逢，她被男友差遣轻视狼狈不堪。他跨过一众围着他殷勤讨好的人群，不顾目光，拉住她的手，塞进一把伞。冬夜昏天暗地光线里，他垂眼看她，声音淡淡：“撑伞，别淋雨。”那一刻她这才知道，除了他以外都是将就。朋友问那再后来呢？她浅笑着没说话。只是每年西园寺，云蒸霞蔚烟火缭绕的银杏树下多了个虔诚的少女。那天年初一，青衣僧人说有缘人赠了她一张纸条。展开一看，字体熟悉，上面写着‘一岁一礼，得偿所愿。’她下意识回头，人海茫茫里，一眼只看见他温柔背影。法援律师X航天设计师排雷：1.SC，文案上的浪荡是传闻和男主实际情况不同，文案上女主男友为协议男友。2.节奏慢热，男女主性格都别扭。3.和现实有出入，私设较多，涉及专业都靠搜索。4.不要在评论区提及与本文无关人物，互相尊重，谢谢。5.防盗70%，章节重复可能是订阅率不够。【17-38章为倒v章节不要重复购买。】预收《赴野》文案：“我认识沈赴野那年他十七岁，看到他的第一眼，就像是得到了救赎。”那天傍晚六点四十六分，被大雨吞没的小镇已经沉睡。小超市老旧的玻璃推门忽然被人从外推开。乌沉浑沌的光线里，男人全身都浸着水意，滴答滴答的和身后萧瑟的雨幕融为一体。他自顾自低着头，整个人感觉很疲倦。时间温吞在过，外头的雨更大了些，哗哗的激得全是白雾。男人状态好似乎变了一点，更颓。他背脊更弯了点，没精神的靠在柜台边，眸光四处晃荡。忽然他指了下墙上贴的招工启事——招人，800元/月。“我能做吗？他微挑眉，眼角慢吞拉起了下，这是他望向她第一眼。然后，那个潮湿的黄昏夜，成了温池雨这一辈子也忘不了的画面。小镇文。颓痞X乖僻
他的暗卫,苦寻三年那人却就在身后,宫廷侯爵 情有独钟 天之骄子 爽文 成长,http://www.jjwxc.net/onebook.php?novelid=8799650,女王不在家,原创-言情-架空历史-爱情-女主,1048016,完结,6970232320,2024-05-17 00:06:06,（小说于2025.4大修，100章后评论区对不上，请见谅）文案：她是暗卫，代号三十七，之后被宁王赐名青葛。那日她险些丧命，前往庄子养伤，途中却被人找上，说她和他家娘子容貌相似，他家娘子身有宿疾，请她代为成亲，瞒过夫婿，为期五个月。那人给她银票，很是丰厚的一笔。青葛贪财，应了。可她怎么也没想到，那千金的未婚夫婿，竟是她的主人宁王殿下……幸好暗卫的脸，天知地知阁主知，宁王不知。她侥幸瞒过宁王，小心扮演王妃一职。.宁王生得昳丽绝艳，但性情暴戾。某日，因追查叛徒，宁王严审府中死士暗卫，有一暗卫因琐碎小事被罚，鞭一百，血流满地，宁王并未在意。父皇赐婚，宁王迎娶绀梁夏侯氏嫡女。王妃婉约柔媚，性情纯真，宁王从开始的漠然，提防，到心动。十月怀胎产下麟儿，王妃回娘家探亲，归来时，宁王却掐着对方颈子逼问：“孤的王妃何在？”纵然面目相似，可这不是她。这时他才知道，那个和他缱绻缠绵的王妃竟是夏侯氏寻来的赝品，只是图财罢了！宁王一怒，血流成河。之后他挖地三尺，寻找那女子，然天地浩渺，他苦寻而不得。.三年时间，宁王从最初的暴怒愤恨，到后来的沉默苦思，再到最后的沉敛孤冷。终于某一日，阑珊月影下，他半垂着眼，看着那梧桐枯叶落在他的脚下，覆盖住身后暗卫那道被拉长的影子。他低声道，是你，是不是？.#她定是恨极了他，才会守在身边三年，就这么无声地看着他苦苦寻觅。
人类幼崽废土苟活攻略,一起长大，努力活下去,幻想空间 情有独钟 青梅竹马 末世 正剧 废土,http://www.jjwxc.net/onebook.php?novelid=5522621,秃子小贰,原创-纯爱-幻想未来-爱情-双视角,1110005,完结,5225629696,2022-01-20 21:35:29,新文《猎杀我的白骨老公》已开文，指路专栏。——————#两个小孩闯末世#颜布布是佣人的儿子，从出生那刻就注定，他得伺候小少爷封琛一辈子。小少爷封琛，冷硬得像一颗极度低温里的子弹，锋利尖锐，裹着厚厚的一层坚冰，不允许任何人靠近。颜布布的眼里却只有封琛，他将自己唯一的玩具递上去：“哥哥，送给你。”“谁是你哥哥？”封琛垂眸冷淡地问。颜布布嘬着手指笑：“哥哥笨，你就是哥哥呀。”封琛一点也不喜欢这个跟屁虫，哪怕颜布布用最热烈的眼神看着他，用最软的声音喊着哥哥，他也不喜欢。可在末世来临时，十二岁的封琛，却带着幼小的颜布布踏上了逃亡之路。地震、洪涝、严寒、酷暑、疫病，以及变异的动植物。两个孤单的孩子，守着一座空荡荡的城，共同面对这个面目全非，危机四伏的世界。在那些挣扎求生的岁月里，封琛一次也没想过要将颜布布抛弃。颜布布就是他的全部。——你用玫瑰般的唇吻我，子弹便绽出了花。#悬崖缝里生出的两株小苗儿，在末世风雨里互汲养分，相依长大#1V1 哨向文 含有些许赛博朋克、废土元素封琛攻，颜布布受@晋江小贰——————————接档文《猎杀我的白骨老公》文案：银军联盟最年轻的指挥官纪九，消失在一场和S序列者的战役里，生死未知，下落不明。四个月后。失去部分记忆的纪九坐在荒星上，看着自己日益凸起的肚子，陷入沉思。这是哪儿来的？怎么种下的？冥思苦想不得头绪，他却在一艘刚抵达荒星的舰里捡到了一名受伤的男人。男人昏迷不醒，耳后的鳃却显示，他正是人类宿敌——可怕的S序列者。这荒星上没有第二个能喘气的活物，纪九面无表情卷起衣袖，一刀捅进男人心脏最深处。第二天，男人却依旧昏迷在原地，胸脯微微起伏。　　锯、斧头、灌药、电击……男人以不同的死法去世，再原地复活。纪九：？我不信还弄不死你。天上落下铦电，绑在高处的男人被一道道光电劈中，逐渐变糊，成为一具白骨。纪九胸内的沉郁总算消散了些，看着那越来越大的肚子都觉得不是太糟心。五年后。4岁半的小崽崽如往常那般，准备带根“镇宅宝”的骨头出去玩，那样附近的怪物都不敢靠他太近。“嗨呀！嗨呀！”小崽崽用力。……躺在铁床上的白骨微微转动颈骨。“嗨呀！嗨呀！”今天的骨头不好掰，小崽崽只得抡起铁棒。……躺在铁床上的白骨抬起了头。小崽崽和那两个漆黑的空洞对上视线，一阵急促呼吸后，将那刚敲掉的骨头装回去，颤声问：“我找个胶带给你贴上好不好？”纪九归来，刚拉开大门，便看见了眼前的一幕。——一具白骨坐在简陋的沙发上，双腿骨交叠，双腕骨闲适地搭在两侧。小崽崽站在沙发旁，战战兢兢地给白骨锤着腿，看见他后嘴巴瘪了瘪，红着眼睛却不敢出声。四目相对，白骨缓缓起身，微用力捏着纪九的下巴，暗沉的嗓音犹如来自地狱：“照顾我，直到我恢复力量为止。”纪九还未动手，“镇宅宝”又附耳低语：“你们父子俩敲了我186块骨头，这笔账，得还。”——————————预收《娘子，啊哈！》求收。天地间灵气凋零，五岁的小金龙云眠身子越来越衰弱。为了保住金龙一族，只得让他和十二岁的小朱雀秦拓提前成亲。洞房夜，烛影摇红。一身喜袍的云眠掏出一大堆物什：“娘子，你会玩草蝈蝈吗？石人打仗呢？蟀婆婆骑大马？”少年薄唇轻启：“不会。滚。”云眠大失所望：“你什么都不会，那还怎么做我娘子？你快去学吧，学会了陪我玩，我就不休你。”秦拓垂眸看着还没有床沿高的小团子，冷声道：“你再聒噪，我就把你头上那两个饽饽割掉。”“那，那是我的角。”一朝生变，两小只逃亡到蛮荒地。云眠哭哭啼啼地吃着秦拓做的饭食，哭哭啼啼地道：“你做的饭食不好吃，这样子怎么能伺候好相公？”秦拓恨恨地咬着牙，掰断了手里筷子。云眠认识了新朋友小鲤鱼精，两人相见甚欢，分外投契，携手去玩石人打仗的游戏。“这是我娘——”云眠对上秦拓快要吃龙的眼神，吓得缩回了舌头：“娘……我和鲤兄谈事，你在旁边给我们端茶送水打扇子。”秦拓目露凶光，扔掉背上刚砍的柴火捋袖子：“我现在就要抽龙筋剥龙皮，你叫爹也不行。”多年后。“相公，我伺候得好不好？你满意吗？还要不要休我？”秦拓声音暗哑，气息有些不稳。刚爬走的云眠又被拖了回去：“……不用伺候了……呜呜……”——————云眠受，秦拓攻小普信男金龙受@晋江小贰
